n_estimators,bin,depth,accuracy,f1_score,auc,val_loss
1,8,4,0.7258438224059115,0.7069219440353461,0.743224716496236,0.656215651566052
5,8,4,0.8060617446302211,0.7926347505858721,0.8736162525426558,0.5496692372193217
15,8,2,0.8314860041330077,0.8288712241653419,0.8931587345009366,0.48115186778548946
15,8,4,0.8584131755275847,0.8501756013517991,0.9197329929113078,0.42150534085530905
15,8,2,0.8314860041330077,0.8288712241653419,0.8931587345009366,0.4811517041248567
15,8,4,0.7544617696787526,0.7447431807825011,0.8371686547798164,0.6030069740895364
15,8,4,0.8306093055294633,0.8228436701814132,0.9010986045353073,0.4916966338764138
10,8,4,0.8415054167449433,0.8291365692297307,0.9096902634323124,0.45896645841447825
15,8,4,0.8651762790406412,0.8584763031617696,0.9248259590564973,0.38258616273826296
15,8,6,0.856972884964619,0.8515340613624545,0.9230444138119696,0.41564833975645743
15,4,4,0.8385622142901873,0.8335055541203823,0.9097032433683898,0.42982916130120397
15,12,4,0.8084413551255558,0.7659346545259774,0.9193599707241658,0.4534362962545193
3,4,2,0.6987914083536853,0.7194026367985066,0.7643946628385136,0.6198712719361216
3,4,3,0.7741248669296763,0.7710277407477941,0.8302132991719193,0.5793932624100032
3,4,4,0.7841442795416119,0.782893493733073,0.8342573453105333,0.5745704028947899
3,4,5,0.7822656396768739,0.7785491369976435,0.8434910679216919,0.5802071271214011
3,4,6,0.7923476736176341,0.7990790111488123,0.8532837669703841,0.5703668942479396
3,4,2,0.6987914083536853,0.7194026367985066,0.7643946628385136,0.6198712682698533
3,4,3,0.7741248669296763,0.7710277407477941,0.8302132991719193,0.579393324121621
3,4,4,0.784269522199261,0.7830467913596575,0.835276085985371,0.5741490295012498
3,4,5,0.7822656396768739,0.7785491369976435,0.8434353992894995,0.5802035151602835
3,4,6,0.7923476736176341,0.7990546600412071,0.8528916709436405,0.5703760272397296
3,4,3,0.7741248669296763,0.7710277407477941,0.8302132991719193,0.5793931885091805
3,4,4,0.784269522199261,0.7830467913596575,0.835276085985371,0.5741490731201938
4,4,2,0.7370530402655144,0.7584977281877264,0.8017475307534292,0.6050223018530394
4,4,3,0.7829544742939445,0.7894545012756652,0.8327718367229137,0.5651771933904814
4,4,4,0.7944767987976705,0.7893182693542174,0.8488600008407547,0.5648328035830126
4,4,5,0.7900933057799486,0.7810581319399086,0.8530784800659553,0.5627962925352252
4,4,6,0.8116976642244348,0.8092852159573793,0.8633352882973211,0.552022377622471
15,8,3,0.8487694908885967,0.8369234924707948,0.9099017383546053,0.4411054327935221
15,8,5,0.8457636671050159,0.840220564385339,0.9084939682119406,0.42805562824125915
15,6,4,0.8582253115411109,0.8484605087014726,0.9197619173851774,0.4189779153218781
15,10,4,0.7580938067505792,0.683074903601608,0.8965386941698048,0.5097804720001734
15,8,3,0.8506481307533346,0.8392748837522744,0.9113107241408304,0.436009241528199
15,8,5,0.8446364831861732,0.8390319859858562,0.9074849605284456,0.43097232203803376
15,6,4,0.856659778320496,0.8467153284671532,0.9180320722848327,0.4261593961949615
15,10,4,0.7448180850397645,0.659764548718377,0.892096073800701,0.520881941292572
20,8,4,0.8636107458200263,0.858295380611581,0.9263132871880267,0.39304080858835255
